Runner Episode: 1	Loss: 0.368261	Accuracy: 0.860 	 Current Training Data Per Class: 120
Runner Episode: 2	Loss: 0.611346	Accuracy: 0.800 	 Current Training Data Per Class: 120
Runner Episode: 3	Loss: 0.745785	Accuracy: 0.760 	 Current Training Data Per Class: 120
Runner Episode: 4	Loss: 0.620659	Accuracy: 0.770 	 Current Training Data Per Class: 120
Runner Episode: 5	Loss: 0.447785	Accuracy: 0.840 	 Current Training Data Per Class: 120
Runner Episode: 6	Loss: 0.733586	Accuracy: 0.760 	 Current Training Data Per Class: 120
Runner Episode: 7	Loss: 0.412529	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 8	Loss: 0.318039	Accuracy: 0.870 	 Current Training Data Per Class: 120
Runner Episode: 9	Loss: 0.682807	Accuracy: 0.780 	 Current Training Data Per Class: 120
Runner Episode: 10	Loss: 0.686022	Accuracy: 0.730 	 Current Training Data Per Class: 120
Runner Episode: 11	Loss: 0.959273	Accuracy: 0.650 	 Current Training Data Per Class: 120
Runner Episode: 12	Loss: 0.498276	Accuracy: 0.800 	 Current Training Data Per Class: 120
Runner Episode: 13	Loss: 0.425079	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 14	Loss: 0.409009	Accuracy: 0.900 	 Current Training Data Per Class: 120
Runner Episode: 15	Loss: 0.388943	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 16	Loss: 0.609019	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 17	Loss: 0.319115	Accuracy: 0.920 	 Current Training Data Per Class: 120
Runner Episode: 18	Loss: 0.714933	Accuracy: 0.760 	 Current Training Data Per Class: 120
Runner Episode: 19	Loss: 0.642346	Accuracy: 0.800 	 Current Training Data Per Class: 120
Runner Episode: 20	Loss: 0.655376	Accuracy: 0.780 	 Current Training Data Per Class: 120
Runner Episode: 21	Loss: 0.324703	Accuracy: 0.900 	 Current Training Data Per Class: 120
Runner Episode: 22	Loss: 0.484969	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 23	Loss: 0.676995	Accuracy: 0.730 	 Current Training Data Per Class: 120
Runner Episode: 24	Loss: 0.805710	Accuracy: 0.660 	 Current Training Data Per Class: 120
Runner Episode: 25	Loss: 0.654671	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 26	Loss: 0.660600	Accuracy: 0.810 	 Current Training Data Per Class: 120
Runner Episode: 27	Loss: 0.695399	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 28	Loss: 0.608768	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 29	Loss: 0.488095	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 30	Loss: 0.471594	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 31	Loss: 0.513424	Accuracy: 0.770 	 Current Training Data Per Class: 120
Runner Episode: 32	Loss: 0.366855	Accuracy: 0.860 	 Current Training Data Per Class: 120
Runner Episode: 33	Loss: 0.661284	Accuracy: 0.810 	 Current Training Data Per Class: 120
Runner Episode: 34	Loss: 0.495812	Accuracy: 0.840 	 Current Training Data Per Class: 120
Runner Episode: 35	Loss: 0.356462	Accuracy: 0.890 	 Current Training Data Per Class: 120
Runner Episode: 36	Loss: 0.514540	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 37	Loss: 0.703863	Accuracy: 0.740 	 Current Training Data Per Class: 120
Runner Episode: 38	Loss: 0.574473	Accuracy: 0.780 	 Current Training Data Per Class: 120
Runner Episode: 39	Loss: 0.630519	Accuracy: 0.770 	 Current Training Data Per Class: 120
Runner Episode: 40	Loss: 0.661951	Accuracy: 0.760 	 Current Training Data Per Class: 120
Runner Episode: 41	Loss: 0.480842	Accuracy: 0.830 	 Current Training Data Per Class: 120
Runner Episode: 42	Loss: 0.532320	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 43	Loss: 0.533609	Accuracy: 0.810 	 Current Training Data Per Class: 120
Runner Episode: 44	Loss: 0.672971	Accuracy: 0.710 	 Current Training Data Per Class: 120
Runner Episode: 45	Loss: 0.324324	Accuracy: 0.880 	 Current Training Data Per Class: 120
Runner Episode: 46	Loss: 0.464198	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 47	Loss: 1.094959	Accuracy: 0.660 	 Current Training Data Per Class: 120
Runner Episode: 48	Loss: 0.315283	Accuracy: 0.880 	 Current Training Data Per Class: 120
Runner Episode: 49	Loss: 0.559135	Accuracy: 0.770 	 Current Training Data Per Class: 120
Runner Episode: 50	Loss: 0.576294	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 51	Loss: 0.600466	Accuracy: 0.810 	 Current Training Data Per Class: 120
Runner Episode: 52	Loss: 0.527141	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 53	Loss: 0.867895	Accuracy: 0.610 	 Current Training Data Per Class: 120
Runner Episode: 54	Loss: 0.339844	Accuracy: 0.880 	 Current Training Data Per Class: 120
Runner Episode: 55	Loss: 0.684423	Accuracy: 0.800 	 Current Training Data Per Class: 120
Runner Episode: 56	Loss: 0.522781	Accuracy: 0.810 	 Current Training Data Per Class: 120
Runner Episode: 57	Loss: 0.390925	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 58	Loss: 0.764131	Accuracy: 0.740 	 Current Training Data Per Class: 120
Runner Episode: 59	Loss: 0.422565	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 60	Loss: 0.765459	Accuracy: 0.730 	 Current Training Data Per Class: 120
Runner Episode: 61	Loss: 0.639114	Accuracy: 0.800 	 Current Training Data Per Class: 120
Runner Episode: 62	Loss: 0.551312	Accuracy: 0.770 	 Current Training Data Per Class: 120
Runner Episode: 63	Loss: 0.569103	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 64	Loss: 0.851311	Accuracy: 0.690 	 Current Training Data Per Class: 120
Runner Episode: 65	Loss: 0.670828	Accuracy: 0.760 	 Current Training Data Per Class: 120
Runner Episode: 66	Loss: 0.470873	Accuracy: 0.810 	 Current Training Data Per Class: 120
Runner Episode: 67	Loss: 0.947733	Accuracy: 0.670 	 Current Training Data Per Class: 120
Runner Episode: 68	Loss: 0.591766	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 69	Loss: 0.833737	Accuracy: 0.670 	 Current Training Data Per Class: 120
Runner Episode: 70	Loss: 0.371441	Accuracy: 0.860 	 Current Training Data Per Class: 120
Runner Episode: 71	Loss: 0.426923	Accuracy: 0.860 	 Current Training Data Per Class: 120
Runner Episode: 72	Loss: 0.566499	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 73	Loss: 0.824882	Accuracy: 0.640 	 Current Training Data Per Class: 120
Runner Episode: 74	Loss: 0.347945	Accuracy: 0.870 	 Current Training Data Per Class: 120
Runner Episode: 75	Loss: 0.812155	Accuracy: 0.730 	 Current Training Data Per Class: 120
Runner Episode: 76	Loss: 0.824535	Accuracy: 0.640 	 Current Training Data Per Class: 120
Runner Episode: 77	Loss: 0.340971	Accuracy: 0.880 	 Current Training Data Per Class: 120
Runner Episode: 78	Loss: 0.619679	Accuracy: 0.780 	 Current Training Data Per Class: 120
Runner Episode: 79	Loss: 0.528979	Accuracy: 0.800 	 Current Training Data Per Class: 120
Runner Episode: 80	Loss: 0.542883	Accuracy: 0.770 	 Current Training Data Per Class: 120
Runner Episode: 81	Loss: 0.378846	Accuracy: 0.840 	 Current Training Data Per Class: 120
Runner Episode: 82	Loss: 0.560890	Accuracy: 0.780 	 Current Training Data Per Class: 120
Runner Episode: 83	Loss: 0.233179	Accuracy: 0.910 	 Current Training Data Per Class: 120
Runner Episode: 84	Loss: 0.931993	Accuracy: 0.730 	 Current Training Data Per Class: 120
Runner Episode: 85	Loss: 0.749735	Accuracy: 0.730 	 Current Training Data Per Class: 120
Runner Episode: 86	Loss: 0.497769	Accuracy: 0.830 	 Current Training Data Per Class: 120
Runner Episode: 87	Loss: 0.581498	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 88	Loss: 0.400106	Accuracy: 0.870 	 Current Training Data Per Class: 120
Runner Episode: 89	Loss: 0.553280	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 90	Loss: 0.988917	Accuracy: 0.670 	 Current Training Data Per Class: 120
